res_id,res_course_id,res_stage_id,res_subject_id,res_res_type_id,res_textbook_version_id,res_commercial_level_id,res_res_price_initial,res_zxxk_ctr_exposure_cnt_30day,res_zxxk_ctr_exposure_click_cnt_30day,res_zxxk_ctr_b_identify_down_cnt_30day,res_zxxk_ctr_c_identify_down_cnt_30day,province,is_click
30189064,2,2,2,4106,557,1204,2.00,5,NULL,NULL,NULL,420000,NULL
30190817,27,4,2,4101,721,1202,1.50,143,2,2,0,440000,NULL
30190817,27,4,2,4101,721,1202,1.50,143,2,2,0,440000,NULL
30190817,27,4,2,4101,721,1202,1.50,143,2,2,0,440000,NULL
30190817,27,4,2,4101,721,1202,1.50,143,2,2,0,430000,NULL
30190817,27,4,2,4101,721,1202,1.50,143,2,2,0,340000,NULL
30190817,27,4,2,4101,721,1202,1.50,143,2,2,0,430000,NULL
30190817,27,4,2,4101,721,1202,1.50,143,2,2,0,410000,NULL
30190817,27,4,2,4101,721,1202,1.50,143,2,2,0,410000,NULL
30190817,27,4,2,4101,721,1202,1.50,143,2,2,0,410000,NULL
30190817,27,4,2,4101,721,1202,1.50,143,2,2,0,410000,NULL
30190817,27,4,2,4101,721,1202,1.50,143,2,2,0,410000,NULL
30190817,27,4,2,4101,721,1202,1.50,143,2,2,0,410000,NULL
30190817,27,4,2,4101,721,1202,1.50,143,2,2,0,410000,NULL
30195885,13,3,4,4105,437,1202,1.00,31,2,NULL,NULL,440000,NULL
30196873,32,4,7,4102,729,1204,1.00,23,NULL,NULL,NULL,370000,NULL
30198626,1,2,1,4105,539,1203,3.00,52,NULL,2,0,440000,NULL
30199889,11,3,2,4105,293,1202,1.00,12,NULL,NULL,NULL,NULL,NULL
30202921,20,3,12,4102,783,1202,0.00,58,NULL,0,2,430000,NULL
30206212,10,3,1,4105,405,1203,3.00,45,NULL,2,0,430000,NULL
30206212,10,3,1,4105,405,1203,3.00,45,NULL,2,0,430000,NULL
30206212,10,3,1,4105,405,1203,3.00,45,NULL,2,0,430000,NULL
30206212,10,3,1,4105,405,1203,3.00,45,NULL,2,0,430000,NULL
30215017,23,3,14,4102,889,1202,0.00,21,1,0,1,440000,NULL
30217551,12,3,3,410601,451,1202,0.50,44,1,NULL,NULL,320000,NULL
30217551,12,3,3,410601,451,1202,0.50,44,1,NULL,NULL,320000,NULL
30218041,12,3,3,4105,456,1202,0.00,17,1,NULL,NULL,330000,NULL
30218041,12,3,3,4105,456,1202,0.00,17,1,NULL,NULL,330000,NULL
30221555,16,3,7,4107,510,1203,2.00,15,NULL,NULL,NULL,NULL,NULL
30222328,34,4,9,4103,738,1204,1.00,4,NULL,1,0,NULL,NULL
30226117,28,4,3,4101,763,1202,0.00,517,44,15,6,510000,NULL
30226117,28,4,3,4101,763,1202,0.00,517,44,15,6,370000,NULL
30228368,34,4,9,4101,738,1202,0.00,263,18,7,7,370000,NULL
30228368,34,4,9,4101,738,1202,0.00,263,18,7,7,NULL,NULL
30231898,28,4,3,4101,763,1202,0.00,160,5,3,0,460000,NULL
30231898,28,4,3,4101,763,1202,0.00,160,5,3,0,370000,NULL
30231898,28,4,3,4101,763,1202,0.00,160,5,3,0,460000,NULL
30234416,3,2,3,4107,594,1203,4.00,72,8,4,1,370000,NULL
30234416,3,2,3,4107,594,1203,4.00,72,8,4,1,440000,NULL
30234914,1,2,1,4106,539,1202,2.50,38,1,1,1,430000,NULL
30234914,1,2,1,4106,539,1202,2.50,38,1,1,1,440000,NULL
30235695,26,4,1,4101,0,1203,3.00,57,5,6,0,430000,NULL
30235695,26,4,1,4101,0,1203,3.00,57,5,6,0,440000,NULL
30240962,12,3,3,410401,453,1202,0.50,6,NULL,NULL,NULL,330000,NULL
30247791,18,3,9,4105,0,1204,0.00,166,4,7,4,510000,NULL
30247791,18,3,9,4105,0,1204,0.00,166,4,7,4,510000,NULL
30247791,18,3,9,4105,0,1204,0.00,166,4,7,4,510000,NULL
30247791,18,3,9,4105,0,1204,0.00,166,4,7,4,510000,NULL
30251580,1,2,1,4105,539,1204,2.00,30,NULL,NULL,NULL,NULL,NULL
30251580,1,2,1,4105,539,1204,2.00,30,NULL,NULL,NULL,NULL,NULL
30253333,30,4,5,410402,730,1203,4.00,8,1,1,0,210000,NULL
30255094,32,4,7,4101,306,1204,3.00,29,NULL,NULL,NULL,320000,NULL
30256863,35,4,12,4101,779,1202,0.00,413,15,9,0,NULL,NULL
30256863,35,4,12,4101,779,1202,0.00,413,15,9,0,440000,NULL
30256863,35,4,12,4101,779,1202,0.00,413,15,9,0,440000,NULL
